"","IDseas","distLSW","CentXW","CentYW","TOTALarea_km2","FrgHW","PrW","WtHW","aHabW","DevelW","EmWetW","WoodyWetW","OpenWaterW","ConFrstW","DecidFrstW","MixFrstW","RegenFrstW","GrassW","disturbed2000W","deerharvSQMI2012W","deerharvSQMI2032W","deerharvSQMI2014W","harvestAVEW","CTIforSTAN50_wetpercentW","CTISTANWetmeantW","mean.nomigW","median.nomigW","max.nomigW","sd.nomigW","mean.migW","median.migW","max.migW","sd.migW","CutArea2010W","CutArea2011W","CutArea2012W","CutArea2013W","CutArea2014W","CutArea2015W","CutArea2016W","max.snow.date.jul","min.snow.date.jul","MooseID","Season","deathyear","sex","PT","death.age","RecentDisturb","AllDisturb","DeerHabLidWt_fall","DeerHabLidWt_fall.devel","DeerHabLidWt_fall.emwet","DeerHabLidWt_fall.woodywet","DeerHabLidWt_fall.openwater","DeerHabLidWt_fall.confrst","DeerHabLidWt_fall.decidfrst","DeerHabLidWt_fall.mixfrst","DeerHabLidWt_fall.regenfrst","DeerHabLidWt_fall.grass","DeerHabLidWt_spring","DeerHabLidWt_spring.devel","DeerHabLidWt_spring.emwet","DeerHabLidWt_spring.woodywet","DeerHabLidWt_spring.openwater","DeerHabLidWt_spring.confrst","DeerHabLidWt_spring.decidfrst","DeerHabLidWt_spring.mixfrst","DeerHabLidWt_spring.regenfrst","DeerHabLidWt_spring.grass","DeerHabLidWt_summer","DeerHabLidWt_summer.devel","DeerHabLidWt_summer.emwet","DeerHabLidWt_summer.woodywet","DeerHabLidWt_summer.openwater","DeerHabLidWt_summer.confrst","DeerHabLidWt_summer.decidfrst","DeerHabLidWt_summer.mixfrst","DeerHabLidWt_summer.regenfrst","DeerHabLidWt_summer.grass","DeerHabLidWt.springTOT","DeerHabLidWt.fallTOT","DeerHabLidWt.summerTOT","DeerHabLidWt.TOTAL"
"1","11_Spring",23334.9941371814,631894.62539869,5275355.99850861,160.145445014852,0.479646522,0.259236032,0.184834664,0.076282782,0.016803973,0.01388711,0.1691211,0.029467424,0.209544543,0.203653904,0.301005962,0.056515986,0,0.0874119869483084,0.256595,0.264225,0.0886663,0.2031621,0.0541824959804214,0.220908824773798,0.235894149387647,0.225716901606733,0.92558719306997,0.275158216619023,0.770878707933147,0.867292929356708,1.65715825924316,0.452942515882084,0,0,0.00178150555561253,0,0,0,0.00197820175260445,120,72,"11","Spring","2013","Female","No","3",0.00178150555561253,0.0891934925039209,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000665132857038542,0.000168996099329044,0.00172050250896455,0.0001599711010246,0.00452952108548743,0.00232500290245939,0.00482179092066366,0.00249182887806959,0.00210934611826213,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0189920924712989,0,0,0.0189920924712989
"2","11_Summer",23852.6814737281,628191.778688412,5272735.30081159,432.970179066097,0.351699761,0.102879717,0.476764736,0.068655785,0.010607667,0.032997588,0.354912478,0.02095547,0.124241196,0.140482724,0.27847075,0.003399027,0.0339331,0.0738667223730938,0.256595,0.264225,0.0886663,0.2031621,0.0389380898923122,0.249501894854247,0.16555883828025,0.122264479731742,0.925610563870772,0.277127049896187,0.469029112060766,0.471681275226708,1.65295338429798,0.520899703900563,0,0,0,0,0,0.00130124435178246,0,120,72,"11","Summer","2013","Female","No","3",0,0.0738667223730938,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00035177443189685,0.000207582558313556,0.000614979296069814,0.000142681126914981,0.00297927717077381,0.00187601721861913,0.00340030250965583,0.00133164389974,0.00119760955203479,0,0,0.0121018677640188,0.0121018677640188
"3","13_Fall",18327.6222092243,660079.409038082,5296188.66275188,9.85663235012668,0.382648402,0.421004566,0.18630137,0.010045662,0.000227998,0.036023712,0.174646603,0.002051984,0.665298678,0.11377109,0.007979936,0,0,0,0.700198,0.769,0.314398,0.594532,0.0401276789785682,0.236775796236041,0.176224832636026,0.0870091950351613,0.925571867949542,0.23628475245707,0.753883995847921,0.837039332305426,1.49122290113068,0.404151608285976,0,0,0,0,0,0,0,134,41,"13","Fall","2014","Female","Yes","7",0,0,NA,8.48509815676353e-06,4.14937207001125e-06,1.22046696729166e-05,2.82009230157979e-06,6.92368971142126e-05,4.11125873971246e-05,6.375796382321e-05,3.36561536443254e-05,3.04259000002108e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.000265848734180354,0,0.000265848734180354
"4","13_Spring",18457.1807796777,658211.251376102,5294714.18035536,12.5435744313267,0.561524103584911,0.23022933209481,0.152574242740712,0.0556723209280856,0.00828228286091806,0.196085480634816,0.229490041050417,0.367865273738452,0.193405696251033,0.00487122546436407,0,0,0,0.022242203464989,0.411198934490936,0.440148519526834,0.167338015383637,0.339561823133802,0.0490944378739034,0.248403616686755,0.333832716731069,0.382915141618132,0.889841634020548,0.223373445346799,0.817457191801934,0.898689348536607,1.58939731740799,0.397133653039431,0,0,0,0,0,0,0,123,45,"13","Spring","2014","Female","Yes","7",0,0.022242203464989,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000327828333340203,8.32942005462009e-05,0.000847995199835395,7.88459912580336e-05,0.00223249435443032,0.00114593921869692,0.00237654727850032,0.00122816381632941,0.00103964706459755,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00936075545753436,0,0,0.00936075545753436
"5","13_Summer",19550.626207427,661141.223835621,5298366.72330891,40.9226224959867,0.256854573,0.413029173,0.298749726,0.031366528,0.005938961,0.025075612,0.227880121,0.044652186,0.686554853,0.003519384,0.004509211,0.001869673,0,0.00154151068046686,0.700198,0.769,0.314398,0.594532,0.0423975804234259,0.254348394967162,0.111118324416485,0.0672959326341339,0.925471871546602,0.202693328568127,0.582608898613119,0.737298433118808,1.52051327748747,0.42945904971818,0.000109963627097489,0.00118760717265288,0,0,0,0,0,134,41,"13","Summer","2014","Female","Yes","7",0.00129757079975037,0.00283908148021723,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000196949492459798,0.000116220156430668,0.000344311152977,7.98835076727165e-05,0.00166802096308416,0.00105033397981926,0.00190374226425548,0.000745553304646889,0.000670510907135572,0,0,0.00677552572848154,0.00677552572848154
"6","15_Fall",23939.2466619461,627079.562031165,5271590.35728611,16.059023064381,0.412124583,0.015572859,0.570634038,0.001668521,0.006303404,0.358453565,0.004622496,0.001820983,0.284353551,0.314049587,0.030396414,0,0,0.300390843104411,0.256595,0.264225,0.0886663,0.2031621,0.00420226922538171,0.208844250883992,0.195110411316306,0.128190534144438,0.851782833158693,0.294442016583074,0.401307662520271,0.0438077085636686,1.48327564739113,0.502797738599653,0,0,0,0,0,0,0,120,97,"15","Fall","2014","Female","No","13",0,0.300390843104411,NA,0.000234585398388301,0.000114716657618037,0.000337419466990681,7.79663904689833e-05,0.00191417527442046,0.00113662947854536,0.00176270056840445,0.000930483309091549,0.000841177289997845,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.00734985383392566,0,0.00734985383392566
"7","15_Spring",26864.6066475755,623670.017423658,5272048.66724503,14.1494036799944,0.509244789288399,0.0262889279202297,0.449851649068047,0.01461463465739,0.0731156925116313,0.0179903781235831,0.261595763681685,0.000955892065025207,0.0191178394323726,0.219217887113918,0.379329788857292,0.00207109931854366,0.0266056588959495,0.24015222276014,0.405332446769548,0.359551748725073,0.147873917468791,0.304252704321137,0.0117888964362575,0.222440893636694,0.267235219236929,0.255195937181409,0.912444598661323,0.289451053759428,0.536446480786883,0.700737790689142,1.48874580366375,0.518815958015174,0,0,0,0,0,0,0,116,53,"15","Spring","2014","Female","No","13",0,0.24015222276014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00289405662902534,0.000735318179469073,0.00748607084830129,0.000696049549309662,0.0197083791381627,0.0101163098336846,0.0209800731238154,0.01084218559745,0.00917796655490085,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0826364094541189,0,0,0.0826364094541189
"8","15_Summer",23685.2571068134,628353.644487941,5272663.32596393,33.9817102633732,0.362173569,0.064626748,0.542600897,0.030598787,0.039115759,0.439671719,0.001985572,0.062413131,0.12409822,0.329538686,0.003176914,0,0,0.0343461030383091,0.256595,0.264225,0.0886663,0.2031621,0.0287907869481766,0.24021831665318,0.104536488736063,0.07149184579393,0.925575124535135,0.230943137753984,0.391008883045441,0.0349088252997846,1.41895964550793,0.48162204757035,0,0,0,0,0,0,0,120,97,"15","Summer","2014","Female","No","13",0,0.0343461030383091,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00129716778443734,0.000765460428159794,0.00226773539695924,0.000526136479798509,0.0109860808984851,0.00691781118349173,0.0125386113171532,0.00491043524047747,0.00441618374836716,0,0,0.0446256224773295,0.0446256224773295
"9","151_Spring",12798.2989643495,686024.656194854,5300855.78250813,11.9711635801883,0.43993994,0.34984985,0.193693694,0.016516517,0.030360173,0.006600038,0.174806713,0.00452574,0.39204224,0.101829153,0.2174241,0.039977371,0.032434471,0.0150037509377344,0.700198,0.769,0.314398,0.594532,0.0203658306618895,0.233217442932642,0.226315767090685,0.135443886306633,0.919552243385537,0.280884136171171,0.711388944378384,0.778524880835809,1.58070471751092,0.403031541346685,0.00233060051457096,0,0.0118785445581359,0,0,0,0,112,113,"151","Spring","2014","Male","No","7",0.0142091450727068,0.0292128960104412,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00120171275017369,0.000305329627222976,0.00310847641918359,0.000289023929168853,0.00818360299451482,0.00420064292796526,0.00871165447130735,0.00450205173649044,0.00381101023355112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0343135050895781,0,0,0.0343135050895781
"10","151_Summer",13242.9348170617,685448.685278241,5301044.79287057,29.1671362829013,0.456957729,0.420240666,0.078062326,0.044739278,0.017034068,0.044319408,0.049483583,0.011176199,0.468244181,0.143517805,0.133728996,0.034299368,0.098196393,0.0537037037037037,0.700198,0.769,0.314398,0.594532,0.0279019577616772,0.206064604845333,0.28296872122709,0.224182114419859,0.925532022625012,0.303783532112711,0.845806332470527,0.821431097529439,1.74234733762415,0.344894268551721,0,0,0.000555419628546014,0,0,0,0,112,113,"151","Summer","2014","Male","No","7",0.000555419628546014,0.0542591233322497,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000564888546519448,0.000333341479698324,0.000987549773936657,0.000229121070465958,0.00478420089146923,0.00301255732020331,0.00546029434842252,0.0021383884637363,0.00192315261657536,0,0,0.0194334945110271,0.0194334945110271
